WEB_ACTVY_DT,ENGN_ID,LANG_ID,DVIC_ID,CMPGN_NM,AD_GRP_NM,KEYWD_TXT,KEYWD_ID,MTCH_TYPE_ID,AD_ID,AD_TYPE,HEADLINE,DISPLAY_URL,DESCRIPTION_1,DESCRIPTION_2,DEVICE_PREF,LANDING_PAGE,EXTRNL_ID,ADCOPY_ID,IMPRESSIONS,CONDITIONAL_IMPRESSIONS,TOTAL_QUALITY_SCORE,IMPRESSION_TOTAL_RANK,VISITS,CR_PRED,BE_BID
02JUL2014,G,E,D,GS_CMPGN1_LANG2,AD2_LANG2_BMM - KW306,+KW306,24973099358,B,41179198446,Text ad,HL18,DSPLY_URL18,DESC_1_41,DESC_2_46,All,LAND_PG_22,EXT_ID24,C0006,301,301,903,933.1,3,0.1128,18.5892
02JUL2014,G,E,D,GS_CMPGN1_LANG2,AD2_LANG2_BMM - KW323 KW178,+KW323+KW178,21034705382,B,41179229406,Text ad,HL18,DSPLY_URL18,DESC_1_41,DESC_2_46,All,LAND_PG_22,EXT_ID24,C0006,85,85,255,348.5,1,0.5540,91.3287
02JUL2014,G,E,D,GS_CMPGN1_LANG2,AD2_LANG2_BMM - KW560 KW64 KW178 KW121 KW97,+KW560+KW64+KW178+KW121+KW97,68925486614,B,41179446486,Text ad,HL19,DSPLY_URL18,DESC_1_68,DESC_2_15,All,LAND_PG_22,EXT_ID59,C0023,2,2,10,5,1,0.5540,91.3287
02JUL2014,G,E,D,GS_CMPGN1_LANG2,AD2_LANG2_BMM - KW560 KW64 KW178 KW121 KW97,+KW560+KW64+KW178+KW121+KW97,68925486614,B,41179446246,Text ad,HL15,DSPLY_URL9,DESC_1_5,DESC_2_24,All,LAND_PG_22,EXT_ID94,C0036,5,5,25,12,1,0.5540,91.3287
02JUL2014,G,E,D,GS_CMPGN1_LANG2,AD2_LANG2_BMM - KW306,+KW306,24973099358,B,41179198566,Text ad,HL19,DSPLY_URL18,DESC_1_68,DESC_2_15,All,LAND_PG_22,EXT_ID59,C0023,323,323,969,904.4,1,0.1128,18.5892
02JUL2014,G,E,D,GS_CMPGN1_LANG2,AD2_LANG2_BMM - KW560 KW64 KW178 KW121,+KW560+KW64+KW178+KW121,30198306591,B,41179155126,Text ad,HL15,DSPLY_URL9,DESC_1_5,DESC_2_24,All,LAND_PG_22,EXT_ID94,C0036,5,5,25,6,1,0.5540,91.3287
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW97,+KW104+KW97,28798119779,B,41175089286,Text ad,HL46,DSPLY_URL8,DESC_1_96,DESC_2_22,All,LAND_PG_22,EXT_ID91,C0035,72,72,504,93.6,1,0.0000,0.0000
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW382 KW340,+KW104+KW382+KW340,19779828721,B,41175282486,Text ad,HL3,DSPLY_URL4,DESC_1_31,DESC_2_38,All,LAND_PG_22,EXT_ID88,C0034,58,58,580,58,9,0.0390,6.4322
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW107,+KW107,2716839617,B,41175928326,Text ad,HL19,DSPLY_URL18,DESC_1_68,DESC_2_15,All,LAND_PG_22,EXT_ID59,C0023,4,4,32,4,2,0.0663,10.9348
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW113 KW382 KW97,+KW113+KW382+KW97,24719361659,B,41176050966,Text ad,HL18,DSPLY_URL18,DESC_1_41,DESC_2_46,All,LAND_PG_22,EXT_ID52,C0018,4,4,32,4,2,0.0000,0.0000
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW382 KW340,+KW104+KW382+KW340,19779828721,B,41175282726,Text ad,HL23,DSPLY_URL32,DESC_1_7,DESC_2_23,All,LAND_PG_22,EXT_ID62,C0024,49,49,490,49,18,0.0390,6.4322
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW107 KW97,+KW107+KW97,19779824401,B,41175554046,Text ad,HL18,DSPLY_URL18,DESC_1_41,DESC_2_46,All,LAND_PG_22,EXT_ID52,C0018,15,15,120,16.5,5,0.0663,10.9348
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW382 KW97,+KW104+KW382+KW97,19779450841,B,41176356006,Text ad,HL18,DSPLY_URL18,DESC_1_41,DESC_2_46,All,LAND_PG_22,EXT_ID52,C0018,156,156,1560,156,47,0.0663,10.9348
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW382,+KW104+KW382,19721705907,B,41175287046,Text ad,HL18,DSPLY_URL18,DESC_1_41,DESC_2_46,All,LAND_PG_22,EXT_ID52,C0018,776,776,7760,776,166,0.0229,3.7837
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW178 KW121,+KW104+KW178+KW121,22324032672,B,41175182406,Text ad,HL19,DSPLY_URL18,DESC_1_68,DESC_2_15,All,LAND_PG_22,EXT_ID59,C0023,3,3,30,3,1,0.1917,31.6016
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW382 KW92,+KW104+KW382+KW92,28798866179,B,41176421526,Text ad,HL19,DSPLY_URL18,DESC_1_68,DESC_2_15,All,LAND_PG_22,EXT_ID59,C0023,10,10,100,10,2,0.0663,10.9348
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW382 KW53,+KW104+KW382+KW53,24716099579,B,41176026246,Text ad,HL8,DSPLY_URL21,DESC_1_17,DESC_2_30,All,LAND_PG_21,EXT_ID41,C0013,13,13,91,15.6,2,0.1128,18.5892
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW107 KW92,+KW107+KW92,19779823441,B,41175684606,Text ad,HL18,DSPLY_URL18,DESC_1_41,DESC_2_46,All,LAND_PG_22,EXT_ID52,C0018,2,2,16,2,2,0.0663,10.9348
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW382 KW340 KW97,+KW104+KW382+KW340+KW97,19779828841,B,41176406526,Text ad,HL23,DSPLY_URL32,DESC_1_7,DESC_2_23,All,LAND_PG_22,EXT_ID62,C0024,9,9,90,9,6,0.0663,10.9348
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW382 KW276 KW340,+KW104+KW382+KW276+KW340,24716840339,B,41175071526,Text ad,HL19,DSPLY_URL28,DESC_1_72,DESC_2_33,All,LAND_PG_23,EXT_ID100,C0038,2,2,18,2,1,0.1917,31.6016
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW382 KW178 KW121,+KW104+KW382+KW178+KW121,19779828481,B,41175236046,Text ad,HL19,DSPLY_URL18,DESC_1_68,DESC_2_15,All,LAND_PG_22,EXT_ID59,C0023,20,20,200,22,4,0.1128,18.5892
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW382 KW178 KW121 KW97,+KW104+KW382+KW178+KW121+KW97,18225643247,B,41175654846,Text ad,HL46,DSPLY_URL8,DESC_1_96,DESC_2_22,All,LAND_PG_22,EXT_ID91,C0035,4,4,40,4,1,0.0663,10.9348
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104 KW382 KW97,+KW104+KW382+KW97,19779450841,B,41176356246,Text ad,HL46,DSPLY_URL8,DESC_1_96,DESC_2_22,All,LAND_PG_22,EXT_ID91,C0035,148,148,1480,148,32,0.0663,10.9348
02JUL2014,G,E,D,GS_CMPGN2_LANG2,AD3_LANG2_BMM - KW104,+KW104,18499802941,B,41175181566,Text ad,HL19,DSPLY_URL18,DESC_1_68,DESC_2_15,All,LAND_PG_22,EXT_ID59,C0023,910,910,7280,1183,1,0.0390,6.4322
02JUL2014,G,E,D,GS_CMPGN4_LANG2,AD4_LANG2_BMM - KW497 KW587 KW42,+KW497+KW587+KW42,44018834560,B,41178754566,Text ad,HL19,DSPLY_URL22,DESC_1_70,DESC_2_25,All,LAND_PG_24,EXT_ID107,C0041,2,2,14,2,1,0.0000,0.0000
02JUL2014,G,E,D,GS_CMPGN4_LANG2,AD4_LANG2_BMM - KW62 KW178,+KW62+KW178,18540060505,B,41179000926,Text ad,HL19,DSPLY_URL22,DESC_1_74,DESC_2_34,All,LAND_PG_23,EXT_ID102,C0039,420,420,2100,882,3,0.1128,18.5892
02JUL2014,G,E,D,GS_CMPGN4_LANG2,AD4_LANG2_BMM - KW276 KW178,+KW276+KW178,18540029785,B,41179087806,Text ad,HL19,DSPLY_URL28,DESC_1_72,DESC_2_33,All,LAND_PG_23,EXT_ID100,C0038,22,22,154,33,1,0.3259,53.7228
